AED_ID,SiteID,Site_Name,Shortname,Easting,Northing,Latitude,Longitude,AgencyID,Agency_Name,Type_Data,Type_Station,Station_Status,InCS,Program,Depth
wwmsp2sg_OS6,OS6,OS 6,OS 6,-1,-1,-33.56837598,115.333367,WWMSP,WAMSI Westport Marine Science Program,ECO_benthic,Seagrass & Macroalgae,,0,WWMSP2.2 SG,-16.3
wwmsp2sg_PenguinIsland,PenguinIsland,Penguin Island,Penguin Island,-1,-1,-32.30144997,115.69378,WWMSP,WAMSI Westport Marine Science Program,ECO_benthic,Seagrass & Macroalgae,,0,WWMSP2.2 SG,-2.9
wwmsp2sg_PortGeographe,PortGeographe,Port Geographe,Port Geographe,-1,-1,-33.62846,115.3824,WWMSP,WAMSI Westport Marine Science Program,ECO_benthic,Seagrass & Macroalgae,,0,WWMSP2.2 SG,-3.7
wwmsp2sg_PortKennedy,PortKennedy,Port Kennedy,Port Kennedy,-1,-1,-32.36452304,115.726798,WWMSP,WAMSI Westport Marine Science Program,ECO_benthic,Seagrass & Macroalgae,,0,WWMSP2.2 SG,-1.6
wwmsp2sg_SealIsland,SealIsland,Seal Island,Seal Island,-1,-1,-32.29040002,115.695982,WWMSP,WAMSI Westport Marine Science Program,ECO_benthic,Seagrass & Macroalgae,,0,WWMSP2.2 SG,-4.1
wwmsp2sg_Sorrento,Sorrento,Sorrento,Sorrento,-1,-1,-31.8298,115.740788,WWMSP,WAMSI Westport Marine Science Program,ECO_benthic,Seagrass & Macroalgae,,0,WWMSP2.2 SG,-7.3
wwmsp2sg_SouthernFlats,SouthernFlats,Southern Flats,Southern Flats,-1,-1,-32.24142,115.70671,WWMSP,WAMSI Westport Marine Science Program,ECO_benthic,Seagrass & Macroalgae,,1,WWMSP2.2 SG,-2.1
wwmsp2sg_SouthernFlatsDepth,SouthernFlatsDepth,Southern Flats Depth,Southern Flats Depth,-1,-1,,,WWMSP,WAMSI Westport Marine Science Program,ECO_benthic,Seagrass & Macroalgae,,1,WWMSP2.2 SG,
wwmsp2sg_VasseDiversion,VasseDiversion,Vasse Diversion,Vasse Diversion,-1,-1,-33.64746,115.32379,WWMSP,WAMSI Westport Marine Science Program,ECO_benthic,Seagrass & Macroalgae,,0,WWMSP2.2 SG,-3.9
wwmsp2sg_Vasse-Wonnerup,Vasse-Wonnerup,Vasse-Wonnerup,Vasse-Wonnerup,-1,-1,-33.60188,115.42345,WWMSP,WAMSI Westport Marine Science Program,ECO_benthic,Seagrass & Macroalgae,,0,WWMSP2.2 SG,-4.9
wwmsp2sg_WarnbroSound2.0m,WarnbroSound2.0m,Warnbro Sound 2.0m,Warnbro Sound 2.0m,-1,-1,-32.3144,115.71409,WWMSP,WAMSI Westport Marine Science Program,ECO_benthic,Seagrass & Macroalgae,,0,WWMSP2.2 SG,-2.1
wwmsp2sg_WarnbroSound2.5m,WarnbroSound2.5m,Warnbro Sound 2.5m,Warnbro Sound 2.5m,-1,-1,-32.31476,115.71415,WWMSP,WAMSI Westport Marine Science Program,ECO_benthic,Seagrass & Macroalgae,,0,WWMSP2.2 SG,-2.4
wwmsp2sg_WarnbroSound3.2m,WarnbroSound3.2m,Warnbro Sound 3.2m,Warnbro Sound 3.2m,-1,-1,-32.3149,115.71425,WWMSP,WAMSI Westport Marine Science Program,ECO_benthic,Seagrass & Macroalgae,,0,WWMSP2.2 SG,-3.1
wwmsp2sg_WarnbroSound5.2m,WarnbroSound5.2m,Warnbro Sound 5.2m,Warnbro Sound 5.2m,-1,-1,-32.3162,115.71393,WWMSP,WAMSI Westport Marine Science Program,ECO_benthic,Seagrass & Macroalgae,,0,WWMSP2.2 SG,-6
wwmsp2sg_WarnbroSound7.0m,WarnbroSound7.0m,Warnbro Sound 7.0m,Warnbro Sound 7.0m,-1,-1,-32.31639,115.71428,WWMSP,WAMSI Westport Marine Science Program,ECO_benthic,Seagrass & Macroalgae,,0,WWMSP2.2 SG,-11.8
wwmsp2sg_WarnbroSoundDepthTransect,WarnbroSoundDepthTransect,Warnbro Sound Depth Transect,Warnbro Sound Depth Transect,-1,-1,-32.34505516,115.7427312,WWMSP,WAMSI Westport Marine Science Program,ECO_benthic,Seagrass & Macroalgae,,0,WWMSP2.2 SG,
wwmsp2sg_WoodmanPoint,WoodmanPoint,Woodman Point,Woodman Point,-1,-1,-32.12859,115.73774,WWMSP,WAMSI Westport Marine Science Program,ECO_benthic,Seagrass & Macroalgae,,1,WWMSP2.2 SG,-3.8
wwmsp2sg_WoodmanPointDepthTransect,WoodmanPointDepthTransect,Woodman Point Depth Transect,Woodman Point Depth Transect,-1,-1,-32.13707106,115.7187491,WWMSP,WAMSI Westport Marine Science Program,ECO_benthic,Seagrass & Macroalgae,,1,WWMSP2.2 SG,
wwmsp2sg_WreckRock,WreckRock,Wreck Rock,Wreck Rock,-1,-1,-31.803238,115.718603,WWMSP,WAMSI Westport Marine Science Program,ECO_benthic,Seagrass & Macroalgae,,0,WWMSP2.2 SG,-5.7
