SITE_ID,DEFAULT_SITE_REF,SITE_TYPE,SITE_SUBTYPE,DEFAULT_SITE_NUM_SYS,SITE_NAME,SITE_SHORTNAME,ALL_SITE_REFERENCES,TEXT_REF,ZONE,EASTING,NORTHING,LATITUDE,LONGITUDE,SPHEROID
61402354,61402354,Groundwater,Bore or Well,AWRC,Murray River Catchment 614 - Bore,Bore,20020357 [WIN_ID]; 2033-1-NW-0771 [AQWAB]; 61402354 [SITE_REF],,50,384797,6449726,-32.08287816,115.7792848,GDA94
61402360,61402360,Groundwater,Bore or Well,AWRC,Murray River Catchment 614 - Bore,Bore,20020502 [WIN_ID]; 2033-1-NW-0916 [AQWAB]; 61402360 [SITE_REF],,50,385206,6449287,-32.08687948,115.7835654,GDA94
61402361,61402361,Groundwater,Bore or Well,AWRC,Murray River Catchment 614 - Bore,Bore,20020503 [WIN_ID]; 2033-1-NW-0917 [AQWAB]; 61402361 [SITE_REF],,50,385016,6449466,-32.08524561,115.7815738,GDA94
61402362,61402362,Groundwater,Bore or Well,AWRC,Murray River Catchment 614 - Bore,Bore,20020504 [WIN_ID]; 2033-1-NW-0918 [AQWAB]; 61402362 [SITE_REF],,50,385482,6449516,-32.08484201,115.7865168,GDA94
61402363,61402363,Groundwater,Bore or Well,AWRC,Murray River Catchment 614 - Bore,Bore,20020505 [WIN_ID]; 2033-1-NW-0919 [AQWAB]; 61402363 [SITE_REF],,50,385296,6450060,-32.07991639,115.7846112,GDA94
61402364,61402364,Groundwater,Bore or Well,AWRC,Murray River Catchment 614 - Bore,Bore,20020506 [WIN_ID]; 2033-1-NW-0920 [AQWAB]; 61402364 [SITE_REF],,50,384926,6450432,-32.07652341,115.780736,GDA94
61402365,61402365,Groundwater,Bore or Well,AWRC,Murray River Catchment 614 - Bore,Bore,20020509 [WIN_ID]; 2033-1-NW-0923 [AQWAB]; 61402365 [SITE_REF],,50,384120,6450445,-32.07632371,115.7721992,GDA94
61402366,61402366,Groundwater,Bore or Well,AWRC,Murray River Catchment 614 - Bore,Bore,20020512 [WIN_ID]; 2033-1-NW-0926 [AQWAB]; 61402366 [SITE_REF],,50,384278,6450583,-32.0750952,115.7738896,GDA94
61402367,61402367,Groundwater,Bore or Well,AWRC,Murray River Catchment 614 - Bore,Bore,20020513 [WIN_ID]; 2033-1-NW-0927 [AQWAB]; 61402367 [SITE_REF],,50,385389,6450135,-32.07924936,115.7856054,GDA94
61402368,61402368,Groundwater,Bore or Well,AWRC,Murray River Catchment 614 - Bore,Bore,20020514 [WIN_ID]; 2033-1-NW-0928 [AQWAB]; 61402368 [SITE_REF],,50,383674,6452488,-32.05785058,115.7677218,GDA94
61402370,61402370,Groundwater,Bore or Well,AWRC,Murray River Catchment 614 - 33,33,20020535 [WIN_ID]; 2033-1-NW-0949 [AQWAB]; 61402370 [SITE_REF],,50,384846,6449467,-32.08521926,115.7797729,GDA94
61402371,61402371,Groundwater,Bore or Well,AWRC,White Gum Valley - Special School,Special School,20020560 [WIN_ID]; 2033-1-NW-0974 [AQWAB]; 61402371 [SITE_REF],,50,384000,6452527,-32.05753234,115.7711793,GDA94
61402376,61402376,Groundwater,Bore or Well,AWRC,Murray River Catchment 614 - Bore,Bore,20020576 [WIN_ID]; 2033-1-NW-0990 [AQWAB]; 61402376 [SITE_REF],,50,384569,6448064,-32.09784554,115.7766696,GDA94
61402377,61402377,Groundwater,Bore or Well,AWRC,Murray River Catchment 614 - Bore,Bore,20020590 [WIN_ID]; 2033-1-NW-1004 [AQWAB]; 61402377 [SITE_REF],,50,386236,6450020,-32.08037233,115.7945647,GDA94
61402379,61402379,Groundwater,Bore or Well,AWRC,Murray River Catchment 614 - Bore,Bore,20020614 [WIN_ID]; 2033-1-NW-1028 [AQWAB]; 61402379 [SITE_REF],,50,383247,6451343,-32.0681341,115.7630603,GDA94
61402380,61402380,Groundwater,Bore or Well,AWRC,Murray River Catchment 614 - Bore,Bore,20020615 [WIN_ID]; 2033-1-NW-1029 [AQWAB]; 61402380 [SITE_REF],,50,384901,6452377,-32.05897749,115.7807041,GDA94
61402381,61402381,Groundwater,Bore or Well,AWRC,Murray River Catchment 614 - Bore,Bore,20020632 [WIN_ID]; 2033-1-NW-1046 [AQWAB]; 61402381 [SITE_REF],,50,384491,6450999,-32.07136481,115.776196,GDA94
61402382,61402382,Groundwater,Bore or Well,AWRC,Murray River Catchment 614 - Bore,Bore,20020633 [WIN_ID]; 2033-1-NW-1047 [AQWAB]; 61402382 [SITE_REF],,50,384792,6451556,-32.06637158,115.7794512,GDA94
61402383,61402383,Groundwater,Bore or Well,AWRC,Murray River Catchment 614 - Bore,Bore,20020634 [WIN_ID]; 2033-1-NW-1048 [AQWAB]; 61402383 [SITE_REF],,50,385001,6451061,-32.07085765,115.7816058,GDA94
61402384,61402384,Groundwater,Bore or Well,AWRC,Murray River Catchment 614 - Bore,Bore,20020638 [WIN_ID]; 2033-1-NW-1052 [AQWAB]; 61402384 [SITE_REF],,50,385553,6450291,-32.07785892,115.7873613,GDA94
61402385,61402385,Groundwater,Bore or Well,AWRC,Murray River Catchment 614 - Bore,Bore,20020640 [WIN_ID]; 2033-1-NW-1054 [AQWAB]; 61402385 [SITE_REF],,50,383705,6450308,-32.07751674,115.7677864,GDA94
61402386,61402386,Groundwater,Bore or Well,AWRC,Murray River Catchment 614 - Bore,Bore,20020642 [WIN_ID]; 2033-1-NW-1056 [AQWAB]; 61402386 [SITE_REF],,50,386101,6447102,-32.10667827,115.7927884,GDA94
61402387,61402387,Groundwater,Bore or Well,AWRC,Murray River Catchment 614 - Bore,Bore,20020643 [WIN_ID]; 2033-1-NW-1057 [AQWAB]; 61402387 [SITE_REF],,50,386101,6447102,-32.10667827,115.7927884,GDA94
61402388,61402388,Groundwater,Bore or Well,AWRC,Murray River Catchment 614 - Bore,Bore,20020644 [WIN_ID]; 2033-1-NW-1058 [AQWAB]; 61402388 [SITE_REF],,50,385591,6448110,-32.09753478,115.7875041,GDA94
61402391,61402391,Groundwater,Bore or Well,AWRC,Murray River Catchment 614 - Bore,Bore,20020681 [WIN_ID]; 2033-1-NW-1095 [AQWAB]; 61402391 [SITE_REF],,50,385323,6446380,-32.11311163,115.7844576,GDA94
61402393,61402393,Groundwater,Bore or Well,AWRC,Murray River Catchment 614 - Cathodic,Cathodic,20020687 [WIN_ID]; 2033-1-NW-1101 [AQWAB]; 61402393 [SITE_REF],,50,385196,6449701,-32.08314431,115.7835089,GDA94
61402397,61402397,Groundwater,Bore or Well,AWRC,Royal Fremantle Golf Club - No 6,No 6,20020724 [WIN_ID]; 2033-1-NW-1138 [AQWAB]; 61402397 [SITE_REF],,50,384053,6452939,-32.05382164,115.7717902,GDA94
61402399,61402399,Groundwater,Bore or Well,AWRC,Murray River Catchment 614 - Smart Park,Smart Park,20020743 [WIN_ID]; 2033-1-NW-1157 [AQWAB]; 61402399 [SITE_REF],,50,385559,6446085,-32.11579642,115.7869235,GDA94
61402402,61402402,Groundwater,Bore or Well,AWRC,Hilton Park Primary - School,School,20020784 [WIN_ID]; 2033-1-NW-1198 [AQWAB]; 61402402 [SITE_REF],,50,385139,6451453,-32.06733596,115.7831144,GDA94
61402403,61402403,Groundwater,Bore or Well,AWRC,Murray River Catchment 614 - Golf Course 2-13,Golf Course 2-13,20020794 [WIN_ID]; 2033-1-NW-1208 [AQWAB]; 61402403 [SITE_REF],,50,384026,6452594,-32.05693069,115.7714627,GDA94
61402416,61402416,Groundwater,Bore or Well,AWRC,Murray River Catchment 614 - Dubove Reserve,Dubove Reserve,20020859 [WIN_ID]; 2033-1-NW-1273 [AQWAB]; 61402416 [SITE_REF],,50,385958,6448405,-32.09491112,115.7914279,GDA94
61402417,61402417,Groundwater,Bore or Well,AWRC,Murray River Catchment 614 - Private,Private,20020861 [WIN_ID]; 2033-1-NW-1275 [AQWAB]; 61402417 [SITE_REF],,50,384552,6451627,-32.06570667,115.7769177,GDA94
61402418,61402418,Groundwater,Bore or Well,AWRC,Murray River Catchment 614 - Bore,Bore,20020886 [WIN_ID]; 2033-1-NW-1300 [AQWAB]; 61402418 [SITE_REF],,50,383999,6450187,-32.07863836,115.7708863,GDA94
61402419,61402419,Groundwater,Bore or Well,AWRC,Murray River Catchment 614 - Davis Park,Davis Park,20020893 [WIN_ID]; 2033-1-NW-1307 [AQWAB]; 61402419 [SITE_REF],,50,383953,6451718,-32.06482448,115.7705839,GDA94
61402420,61402420,Groundwater,Bore or Well,AWRC,Murray River Catchment 614 - Dick Lawrence Oval,Dick Lawrence Oval,20020895 [WIN_ID]; 2033-1-NW-1309 [AQWAB]; 61402420 [SITE_REF],,50,384581,6451405,-32.06771201,115.7771981,GDA94
61402421,61402421,Groundwater,Bore or Well,AWRC,Murray River Catchment 614 - Ken Allen Field,Ken Allen Field,20020900 [WIN_ID]; 2033-1-NW-1314 [AQWAB]; 61402421 [SITE_REF],,50,384568,6450905,-32.07222054,115.7770003,GDA94
61402422,61402422,Groundwater,Bore or Well,AWRC,Murray River Catchment 614 - Bruce Lee Oval,Bruce Lee Oval,20020902 [WIN_ID]; 2033-1-NW-1316 [AQWAB]; 61402422 [SITE_REF],,50,383697,6451817,-32.06390519,115.7678843,GDA94
61402432,61402432,Groundwater,Bore or Well,AWRC,Murray River Catchment 614 - Bore,Bore,20020938 [WIN_ID]; 2033-1-NW-1352 [AQWAB]; 61402432 [SITE_REF],,50,386382,6447085,-32.10685995,115.7957642,GDA94
61402464,61402464,Groundwater,Bore or Well,AWRC,Murray River Catchment 614 - 1A,1A,20021036 [WIN_ID]; 2033-1-NW-1452 [AQWAB]; 61402464 [SITE_REF],,50,385639,6446149,-32.11522728,115.787779,GDA94
61402467,61402467,Groundwater,Bore or Well,AWRC,Murray River Catchment 614 - Bore,Bore,20021047 [WIN_ID]; 2033-1-NW-1463 [AQWAB]; 61402467 [SITE_REF],,50,384219,6446336,-32.11339565,115.7727524,GDA94
61402470,61402470,Groundwater,Bore or Well,AWRC,Murray River Catchment 614 - Two,Two,20021052 [WIN_ID]; 2033-1-NW-1468 [AQWAB]; 61402470 [SITE_REF],,50,383988,6448925,-32.09002005,115.7706173,GDA94
61402471,61402471,Groundwater,Bore or Well,AWRC,Murray River Catchment 614 - One,One,20021053 [WIN_ID]; 2033-1-NW-1469 [AQWAB]; 61402471 [SITE_REF],,50,384238,6448795,-32.09121827,115.7732504,GDA94
61402473,61402473,Groundwater,Bore or Well,AWRC,Luka Park_Spearwood - SGW1,SGW1,20021061 [WIN_ID]; 2033-1-NW-1477 [AQWAB]; 61402473 [SITE_REF],,50,386122,6447052,-32.10713138,115.793005,GDA94
