AED_ID,SiteID,Site_Name,Shortname,Easting,Northing,Latitude,Longitude,AgencyID,Agency_Name,Type_Data,Type_Station,Station_Status,InCS,Program
wc_ploom_OR19,OR19,OR19,OR19,,,,,WC,Water Corporation,ECO_plankton,Phytoplankton cell counts,,,WC PSDP BMT271
wc_ploom_OR22,OR22,OR22,OR22,,,,,WC,Water Corporation,ECO_plankton,Phytoplankton cell counts,,,WC PSDP BMT271
wc_ploom_OR27,OR27,OR27,OR27,,,,,WC,Water Corporation,ECO_plankton,Phytoplankton cell counts,,,WC PSDP BMT271
wc_ploom_OR28,OR28,OR28,OR28,,,,,WC,Water Corporation,ECO_plankton,Phytoplankton cell counts,,,WC PSDP BMT271
wc_ploom_OR32,OR32,OR32,OR32,,,,,WC,Water Corporation,ECO_plankton,Phytoplankton cell counts,,,WC PSDP BMT271
wc_ploom_OR5,OR5,OR5,OR5,,,,,WC,Water Corporation,ECO_plankton,Phytoplankton cell counts,,,WC PSDP BMT271
wc_ploom_OR7,OR7,OR7,OR7,,,,,WC,Water Corporation,ECO_plankton,Phytoplankton cell counts,,,WC PSDP BMT271
wc_ploom_OR9,OR9,OR9,OR9,,,,,WC,Water Corporation,ECO_plankton,Phytoplankton cell counts,,,WC PSDP BMT271
wc_ploom_ORR2,ORR2,ORR2,ORR2,,,,,WC,Water Corporation,ECO_plankton,Phytoplankton cell counts,,,WC PSDP BMT271
wc_ploom_ORR3,ORR3,ORR3,ORR3,,,,,WC,Water Corporation,ECO_plankton,Phytoplankton cell counts,,,WC PSDP BMT271
wc_ploom_SB11,SB11,SB11,SB11,,,,,WC,Water Corporation,ECO_plankton,Phytoplankton cell counts,,,WC PSDP BMT271
wc_ploom_SB13,SB13,SB13,SB13,,,,,WC,Water Corporation,ECO_plankton,Phytoplankton cell counts,,,WC PSDP BMT271
wc_ploom_SB15,SB15,SB15,SB15,,,,,WC,Water Corporation,ECO_plankton,Phytoplankton cell counts,,,WC PSDP BMT271
wc_ploom_SB19,SB19,SB19,SB19,,,,,WC,Water Corporation,ECO_plankton,Phytoplankton cell counts,,,WC PSDP BMT271
wc_ploom_SB26,SB26,SB26,SB26,,,,,WC,Water Corporation,ECO_plankton,Phytoplankton cell counts,,,WC PSDP BMT271
wc_ploom_SB28,SB28,SB28,SB28,,,,,WC,Water Corporation,ECO_plankton,Phytoplankton cell counts,,,WC PSDP BMT271
wc_ploom_SB29,SB29,SB29,SB29,,,,,WC,Water Corporation,ECO_plankton,Phytoplankton cell counts,,,WC PSDP BMT271
wc_ploom_SB3,SB3,SB3,SB3,,,,,WC,Water Corporation,ECO_plankton,Phytoplankton cell counts,,,WC PSDP BMT271
wc_ploom_SB31,SB31,SB31,SB31,,,,,WC,Water Corporation,ECO_plankton,Phytoplankton cell counts,,,WC PSDP BMT271
wc_ploom_SB5,SB5,SB5,SB5,,,,,WC,Water Corporation,ECO_plankton,Phytoplankton cell counts,,,WC PSDP BMT271
wc_ploom_SB9,SB9,SB9,SB9,,,,,WC,Water Corporation,ECO_plankton,Phytoplankton cell counts,,,WC PSDP BMT271
wc_ploom_SBR1,SBR1,SBR1,SBR1,,,,,WC,Water Corporation,ECO_plankton,Phytoplankton cell counts,,,WC PSDP BMT271
wc_ploom_SBR2,SBR2,SBR2,SBR2,,,,,WC,Water Corporation,ECO_plankton,Phytoplankton cell counts,,,WC PSDP BMT271
wc_ploom_SBR3,SBR3,SBR3,SBR3,,,,,WC,Water Corporation,ECO_plankton,Phytoplankton cell counts,,,WC PSDP BMT271
wc_ploom_SBR4,SBR4,SBR4,SBR4,,,,,WC,Water Corporation,ECO_plankton,Phytoplankton cell counts,,,WC PSDP BMT271
wc_ploom_SD1,SD1,SD1,SD1,,,,,WC,Water Corporation,ECO_plankton,Phytoplankton cell counts,,,WC PSDP BMT271
wc_ploom_SD13,SD13,SD13,SD13,,,,,WC,Water Corporation,ECO_plankton,Phytoplankton cell counts,,,WC PSDP BMT271
wc_ploom_SD17,SD17,SD17,SD17,,,,,WC,Water Corporation,ECO_plankton,Phytoplankton cell counts,,,WC PSDP BMT271
wc_ploom_SD19,SD19,SD19,SD19,,,,,WC,Water Corporation,ECO_plankton,Phytoplankton cell counts,,,WC PSDP BMT271
wc_ploom_SD22,SD22,SD22,SD22,,,,,WC,Water Corporation,ECO_plankton,Phytoplankton cell counts,,,WC PSDP BMT271
wc_ploom_SD26,SD26,SD26,SD26,,,,,WC,Water Corporation,ECO_plankton,Phytoplankton cell counts,,,WC PSDP BMT271
wc_ploom_SD29,SD29,SD29,SD29,,,,,WC,Water Corporation,ECO_plankton,Phytoplankton cell counts,,,WC PSDP BMT271
wc_ploom_SD3,SD3,SD3,SD3,,,,,WC,Water Corporation,ECO_plankton,Phytoplankton cell counts,,,WC PSDP BMT271
wc_ploom_SD31,SD31,SD31,SD31,,,,,WC,Water Corporation,ECO_plankton,Phytoplankton cell counts,,,WC PSDP BMT271
wc_ploom_SD5,SD5,SD5,SD5,,,,,WC,Water Corporation,ECO_plankton,Phytoplankton cell counts,,,WC PSDP BMT271
wc_ploom_SD7,SD7,SD7,SD7,,,,,WC,Water Corporation,ECO_plankton,Phytoplankton cell counts,,,WC PSDP BMT271
wc_ploom_SD9,SD9,SD9,SD9,,,,,WC,Water Corporation,ECO_plankton,Phytoplankton cell counts,,,WC PSDP BMT271
wc_ploom_SDR2,SDR2,SDR2,SDR2,,,,,WC,Water Corporation,ECO_plankton,Phytoplankton cell counts,,,WC PSDP BMT271
wc_ploom_SDR3,SDR3,SDR3,SDR3,,,,,WC,Water Corporation,ECO_plankton,Phytoplankton cell counts,,,WC PSDP BMT271
wc_ploom_SDR4,SDR4,SDR4,SDR4,,,,,WC,Water Corporation,ECO_plankton,Phytoplankton cell counts,,,WC PSDP BMT271
wwmsp4_OW43,OW43,OW43,OW43,-1,-1,-32.1167,115.675,WWMSP4.2,WAMSI Westport Marine Science Program,ECO_plankton,Zooplankton,,,WWMSP4.2 ZOO
wwmsp4_OW45,OW45,OW45,OW45,-1,-1,-32.1273,115.7079,WWMSP4.2,WAMSI Westport Marine Science Program,ECO_plankton,Zooplankton,,,WWMSP4.2 ZOO
wwmsp4_OW44,OW44,OW44,OW44,-1,-1,-32.1167,115.725,WWMSP4.2,WAMSI Westport Marine Science Program,ECO_plankton,Zooplankton,,,WWMSP4.2 ZOO
wwmsp4_CS6,CS6,CS6,CS6,-1,-1,-32.15,115.7,WWMSP4.2,WAMSI Westport Marine Science Program,ECO_plankton,Zooplankton,,,WWMSP4.2 ZOO
wwmsp4_CS8,CS8,CS8,CS8,-1,-1,-32.15,115.7333,WWMSP4.2,WAMSI Westport Marine Science Program,ECO_plankton,Zooplankton,,,WWMSP4.2 ZOO
wwmsp4_CS9,CS9,CS9,CS9,-1,-1,-32.1667,115.6833,WWMSP4.2,WAMSI Westport Marine Science Program,ECO_plankton,Zooplankton,,,WWMSP4.2 ZOO
wwmsp4_CS91,CS91,CS91,CS91,-1,-1,-32.1647,115.7525,WWMSP4.2,WAMSI Westport Marine Science Program,ECO_plankton,Zooplankton,,,WWMSP4.2 ZOO
wwmsp4_CS17,CS17,CS17,CS17,-1,-1,-32.1833,115.7333,WWMSP4.2,WAMSI Westport Marine Science Program,ECO_plankton,Zooplankton,,,WWMSP4.2 ZOO
wwmsp4_CS20,CS20,CS20,CS20,-1,-1,-32.2,115.7,WWMSP4.2,WAMSI Westport Marine Science Program,ECO_plankton,Zooplankton,,,WWMSP4.2 ZOO
wwmsp4_CS92,CS92,CS92,CS92,-1,-1,-32.1925,115.7628,WWMSP4.2,WAMSI Westport Marine Science Program,ECO_plankton,Zooplankton,,,WWMSP4.2 ZOO
wwmsp4_CS25,CS25,CS25,CS25,-1,-1,-32.2167,115.7167,WWMSP4.2,WAMSI Westport Marine Science Program,ECO_plankton,Zooplankton,,,WWMSP4.2 ZOO
